within,naive
4.734698706020025,4.634860136208052
4.635857296386981,4.480320546488923
5.570303340594334,4.612478672938378
4.189500335903526,4.180047217496582
3.3126097733214834,4.449275884371432
4.432006973922194,4.041256722033019
4.090883423762056,7.440882281090683
4.24455790667044,4.502620869603223
4.014131020091564,4.160340711611967
4.090359520325352,4.069726279740657
4.612765133811473,4.679494649641126
3.916251352426835,4.099310673783055
3.9906319756423785,4.896746450723633
4.078783815246535,5.097139270050494
4.876727073402942,4.13792725144508
3.9715721890260767,3.8400328311748533
4.2691946921697035,5.253876036870497
4.88380390196911,4.665042283636569
4.3327483963631375,4.251188326667205
4.333853974433438,4.158439448270817
5.826282446270687,4.78150866670417
4.717009242018943,5.16415216205503
5.181403493324121,4.574718774976271
5.367299107773134,4.465663077366096
4.166991403032989,5.087875149104875
4.649374125235404,4.934406258375895
4.698535788940582,4.321371692345163
4.426837539377275,5.904552435737651
5.674385837335357,4.624776014237557
4.365882043358984,5.606429395118135
3.8744911157044646,4.683060721853661
4.2660395766065635,5.822021200107173
5.464833511530922,5.069640938269774
4.158627229394807,5.193539102988327
4.668790465937054,4.918602054519497
4.2386366059490195,4.475079850021515
3.685158447949348,4.4257475609193735
4.11816648054829,5.308497376413303
4.4896529293833005,5.38470120052854
5.309437883065508,7.952233664915764
3.592691555942032,4.792163467833942
4.4508872185718324,5.062473603507814
4.061395125442335,4.714788558969022
4.000612876987588,4.819322973282733
4.8254661487216275,4.6880102674712125
4.179264028760009,4.441100695738955
4.813460453355098,4.975791697613068
5.1991549486523905,4.525789517131039
5.122542378096757,3.9896259438423693
4.429225639330425,5.160929931673055
4.062087027323076,4.361747863599531
4.352442032474993,5.480372722069963
6.12071318751163,5.02669771286551
4.314269770809924,4.925693156064748
3.9050902982688664,4.4589796767453835
4.333800032792017,4.969476914763231
4.817880947909838,3.914208435513575
5.632241929169191,5.014671684951315
3.669230672736788,5.9725014447015505
5.24890651044235,4.0447910755062155
4.297847413806137,6.82702627893453
4.967596240784091,5.02020410057821
6.04243098784276,4.155074635157374
4.609650454520632,4.512535109187561
4.320027101378234,4.336830104408282
6.10798793885638,5.900383164816402
4.70908613592368,4.412791688513697
3.979723653618254,3.7558273617911024
4.072316219472938,4.572064475799111
3.870485845245253,4.797738408949382
4.064912215329794,4.045181859964265
5.933990111608825,5.224770711521731
3.985541532564286,4.119860733145546
3.8149775747707335,5.573557536796978
4.898412439486376,4.122492634553093
4.932630556791598,6.922385891675663
4.5846260993255195,4.488472668872957
5.187372783024958,4.002562927895126
4.275162334519554,3.876811100188859
4.0670405751171215,4.556394302454077
4.7708160720388175,4.450995947663966
4.84716217731663,5.409691115519833
4.450517157071517,4.433432227879553
4.070276532471343,4.298515838517984
4.044319427159515,4.096754723704197
5.012327623207805,5.332412763050006
5.239536090158342,4.678840275267948
4.616094957707284,4.835221889343931
4.28258594663007,4.796721587931766
4.343886137808538,4.576726805711846
3.6518384790871967,4.585882598498328
4.0900475412576505,5.086907773811228
6.196507553222235,5.761668695918678
4.66268667320401,6.557748307322437
3.9502486308756137,6.299334221496949
5.480183950031021,4.367506920346366
4.405207852635611,4.8871963784976975
4.784345912383335,4.62511707467303
4.662414462302283,4.629701849567337
3.972472579740657,5.856395414055556
4.047690502129808,7.179101593652463
4.496835588879373,5.425121047539323
4.41843160058451,5.3300930100466815
3.8766649540137093,4.083221797257752
3.8852022852308084,4.75825603809934
4.02451897859012,5.632108619711431
3.9058612202237604,5.610001877828638
4.1917499612737945,4.696538545455967
5.351161841274375,4.714653050068597
4.74302096463096,5.062451128156836
4.120985716642385,5.294556870130556
3.911712125654844,4.722178202358443
4.713839606630668,3.8633922073450777
4.296883978715378,6.966029728705677
4.683560449233974,5.0861146930434975
3.9211208102499002,5.7736350238258884
5.041122600569389,4.335996413251199
3.966777789423467,4.824518408571643
5.593974867325066,4.502355877886409
6.829970430220636,5.844756096730264
4.5208255177218994,5.228156999477886
5.700813481863055,5.1261522274607225
4.64798084506362,4.584770837032263
4.742685951745964,4.094299407247829
5.043713322209372,4.3576407687532805
4.9021530017764645,4.018525436676114
3.743935003177261,4.247023064667884
5.667874198373722,5.236863708026702
4.539463875511587,4.872260527723166
4.225500475659892,5.27293722484065
4.182009914239811,4.141342925888807
3.9771602774359884,4.8919910902437715
4.952480805401239,5.730157512720978
4.440089954651314,4.0575210371879145
4.730001321352487,6.057455946429568
4.7830600448507425,4.437880780631559
4.660097081716446,5.625328503073042
3.715297633790261,4.5974390979106365
4.0327736626202,5.338302201383536
3.777877032813745,5.357993640723303
7.079512198681337,4.34960387940086
5.329156404831095,4.69071410328825
4.846303010278105,5.50043579663654
3.973111829700173,5.218456595094367
3.902393010500241,4.684034873579636
4.160120424358286,4.4827088552679175
4.395874933930124,4.368792539429417
4.311690190969724,4.4386509587878376
5.113464774133822,4.926882408422961
4.332722927866216,4.593512790717473
4.199485615956074,4.863418108477633
4.507017475415717,5.89825300972016
5.175719463075873,5.400764677598384
5.262005050605532,4.22701220844469
4.4990002775764415,4.1946643952032945
3.7060864443656056,4.672870494567226
4.674195613507567,6.319723948785263
4.128051561151025,4.72805204418705
4.454499743011136,5.574682281949939
4.586536162789726,4.69071552030474
6.047298817236647,4.981309078501413
4.847635576916197,4.950132276443119
4.944903845130286,4.434464516952841
4.543435393639082,4.863658687211085
4.7970290750635804,5.093793093300053
4.274747634466557,4.187462937068337
5.106719394179982,4.89757177917189
4.2795105386544625,5.972532718094436
3.938796265483011,5.332017514077889
4.921244987932359,6.329307315920342
4.245630728372786,5.423131922700476
4.00798609448891,4.87461259424604
5.0788709428399645,6.02138720361289
4.703457463978011,4.582578484848115
4.760551196692824,5.988909087992918
4.702938720952001,6.205244361831979
4.148232390498357,4.563417624124553
4.777779109806159,5.3776658903782595
7.873934915395091,4.899781560099025
4.537962422963802,5.406983401625416
5.039314776246369,4.532312219517079
4.252198191758277,4.46751866219085
5.188095873260683,5.325348669912157
5.015437159263095,5.4500489588151
4.5002179425065405,5.147956448534359
6.0416314893104826,4.701462866831522
5.110272484486241,5.109795392622136
4.234975552127932,5.38194888193669
3.7809217830842967,6.275715107417375
4.130429195080007,4.6586628429659
4.817329227916735,6.192986708604755
3.9909838697880335,5.432715134073363
4.26075958534549,4.246251355706742
4.587775914689969,3.689326921340618
5.1410520251771405,5.144865042175378
4.540218127993607,4.098625729898807
5.98672084414744,5.793244656623203
4.511625941552396,5.925975435184593
4.988088523983786,4.856867048864145
7.186104982220084,4.79270374357712
